"filename", "language", "XML", "SQLite", "Markdown", "Java Properties", "Batch", "CSS", "Java", "HTML", "YAML", "JavaScript", "comment", "blank", "total"
"d:\CODE_Android\group\ssbaz\demo\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 16, 1, 20
"d:\CODE_Android\group\ssbaz\demo\HELP.md", "Markdown", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 6, 23
"d:\CODE_Android\group\ssbaz\demo\mvnw.cmd", "Batch", 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 26, 16, 150
"d:\CODE_Android\group\ssbaz\demo\pom.xml", "XML", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 136
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\DemoApplication.java", "Java", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 5, 14
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\HelloController.java", "Java", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\config\FileServiceConfig.java", "Java", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 21, 12, 66
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\config\SpringbootConfigure.java", "Java", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 5, 22
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\controller\AppController.java", "Java", 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 12, 25, 149
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\controller\FileController.java", "Java", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 19, 11, 86
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\controller\UserController.java", "Java", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 3, 24, 125
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\jwt\JwtFilter.java", "Java", 0, 0, 0, 0, 0, 0, 55, 0, 0, 0, 3, 12, 70
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\jwt\JwtUtil.java", "Java", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 17, 12, 71
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\mapper\AppMapper.java", "Java", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 2, 19, 45
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\mapper\UserMapper.java", "Java", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 21, 48
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\pojo\App.java", "Java", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 8, 35
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\pojo\AppScore.java", "Java", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 4, 11, 44
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\pojo\Corp.java", "Java", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 7, 24
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\pojo\DownloadFileInfo.java", "Java", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 15, 9, 38
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\pojo\FileInfo.java", "Java", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 6, 17
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\pojo\Response.java", "Java", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\pojo\Score.java", "Java", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 8, 26
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\pojo\UploadFileInfo.java", "Java", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 9, 7, 24
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\pojo\User.java", "Java", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 8, 29
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\service\AppService.java", "Java", 0, 0, 0, 0, 0, 0, 160, 0, 0, 0, 5, 20, 185
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\service\FileService.java", "Java", 0, 0, 0, 0, 0, 0, 258, 0, 0, 0, 90, 30, 378
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\service\IconService.java", "Java", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 10, 8, 62
"d:\CODE_Android\group\ssbaz\demo\src\main\java\com\example\demo\service\UserService.java", "Java", 0, 0, 0, 0, 0, 0, 205, 0, 0, 0, 7, 25, 237
"d:\CODE_Android\group\ssbaz\demo\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 5, 3, 17
"d:\CODE_Android\group\ssbaz\demo\src\main\resources\application.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\CODE_Android\group\ssbaz\demo\src\main\resources\mapper\AppMapper.xml", "XML", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 53
"d:\CODE_Android\group\ssbaz\demo\src\main\resources\mapper\UserMapper.xml", "XML", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 52
"d:\CODE_Android\group\ssbaz\demo\src\main\resources\static\file.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 18, 104
"d:\CODE_Android\group\ssbaz\demo\src\main\resources\static\jquery.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6895, 1911, 2076, 10882
"d:\CODE_Android\group\ssbaz\demo\src\main\resources\static\webuploader.css", "CSS", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"d:\CODE_Android\group\ssbaz\demo\src\main\resources\static\webuploader.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4911, 1804, 1389, 8104
"d:\CODE_Android\group\ssbaz\demo\src\test\java\com\example\demo\DemoApplicationTests.java", "Java", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 5, 14
"d:\CODE_Android\group\ssbaz\demo\target\classes\application.properties", "Java Properties", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 5, 3, 17
"d:\CODE_Android\group\ssbaz\demo\target\classes\application.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\DemoApplication.class", "Java", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\HelloController.class", "Java", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\config\FileServiceConfig.class", "Java", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 26
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\config\SpringbootConfigure.class", "Java", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 12
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\controller\AppController.class", "Java", 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 1, 53
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\controller\FileController.class", "Java", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 24
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\controller\UserController$1.class", "Java", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\controller\UserController.class", "Java", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 45
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\jwt\JwtFilter.class", "Java", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 6, 0, 20
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\jwt\JwtUtil.class", "Java", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 33
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\mapper\AppMapper.class", "Java", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\mapper\UserMapper.class", "Java", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 21
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\pojo\App.class", "Java", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 97
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\pojo\AppScore.class", "Java", 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 115
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\pojo\Corp.class", "Java", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 35
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\pojo\DownloadFileInfo.class", "Java", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 3, 29
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\pojo\FileInfo.class", "Java", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 1, 28
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\pojo\Response.class", "Java", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 45
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\pojo\Score.class", "Java", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 39
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\pojo\UploadFileInfo.class", "Java", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 31
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\pojo\User.class", "Java", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 68
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\service\AppService.class", "Java", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 38
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\service\FileService$SliceDownloadRunnable.class", "Java", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 15
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\service\FileService.class", "Java", 0, 0, 0, 0, 0, 0, 214, 0, 0, 0, 0, 6, 220
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\service\IconService.class", "Java", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 27
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\service\UserService$1.class", "Java", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\service\UserService$2.class", "Java", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9
"d:\CODE_Android\group\ssbaz\demo\target\classes\com\example\demo\service\UserService.class", "Java", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 61
"d:\CODE_Android\group\ssbaz\demo\target\classes\mapper\AppMapper.xml", "XML", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 53
"d:\CODE_Android\group\ssbaz\demo\target\classes\mapper\UserMapper.xml", "XML", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 16, 52
"d:\CODE_Android\group\ssbaz\demo\target\classes\static\file.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 18, 104
"d:\CODE_Android\group\ssbaz\demo\target\classes\static\jquery.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6895, 1911, 2076, 10882
"d:\CODE_Android\group\ssbaz\demo\target\classes\static\webuploader.css", "CSS", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 2, 28
"d:\CODE_Android\group\ssbaz\demo\target\classes\static\webuploader.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4911, 1804, 1389, 8104
"d:\CODE_Android\group\ssbaz\demo\target\test-classes\com\example\demo\DemoApplicationTests.class", "Java", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"d:\CODE_Android\group\ssbaz\demo\test.sql", "SQLite", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CODE_Android\group\ssbaz\demo\看这里.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"Total", "-", 245, 1, 19, 21, 108, 52, 2439, 172, 6, 23612, 7727, 7397, 41799