"filename", "language", "JavaScript", "TypeScript", "Properties", "JSON", "JSON with Comments", "Markdown", "HTML", "Vue", "comment", "blank", "total"
"d:\CODE_Android\group\ssbaz\manager_web\.env", "Properties", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CODE_Android\group\ssbaz\manager_web\.eslintrc.cjs", "JavaScript", 13, 0, 0, 0, 0, 0, 0, 0, 1, 2, 16
"d:\CODE_Android\group\ssbaz\manager_web\.prettierrc.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
"d:\CODE_Android\group\ssbaz\manager_web\README.md", "Markdown", 0, 0, 0, 0, 0, 40, 0, 0, 0, 20, 60
"d:\CODE_Android\group\ssbaz\manager_web\env.d.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 3, 2, 19
"d:\CODE_Android\group\ssbaz\manager_web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 21, 0, 0, 3, 24
"d:\CODE_Android\group\ssbaz\manager_web\package-lock.json", "JSON", 0, 0, 0, 7015, 0, 0, 0, 0, 0, 1, 7016
"d:\CODE_Android\group\ssbaz\manager_web\package.json", "JSON", 0, 0, 0, 57, 0, 0, 0, 0, 0, 1, 58
"d:\CODE_Android\group\ssbaz\manager_web\src\App.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 40, 0, 9, 49
"d:\CODE_Android\group\ssbaz\manager_web\src\components\404.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 124, 0, 16, 140
"d:\CODE_Android\group\ssbaz\manager_web\src\components\AppDisplay.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 128, 0, 18, 146
"d:\CODE_Android\group\ssbaz\manager_web\src\components\AppInfo.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 348, 0, 53, 401
"d:\CODE_Android\group\ssbaz\manager_web\src\components\FileUploadComponent.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 244, 0, 31, 275
"d:\CODE_Android\group\ssbaz\manager_web\src\components\ForgetPasswordComponent.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 190, 0, 27, 217
"d:\CODE_Android\group\ssbaz\manager_web\src\components\Home.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 107, 0, 14, 121
"d:\CODE_Android\group\ssbaz\manager_web\src\components\LoginComponent.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 203, 0, 25, 228
"d:\CODE_Android\group\ssbaz\manager_web\src\components\Login\RetrievePassword.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 192, 0, 19, 211
"d:\CODE_Android\group\ssbaz\manager_web\src\components\Login\logIn1.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 191, 0, 17, 208
"d:\CODE_Android\group\ssbaz\manager_web\src\components\Login\register.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 245, 0, 20, 265
"d:\CODE_Android\group\ssbaz\manager_web\src\components\RegularUsers\EventInfo.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 221, 0, 14, 235
"d:\CODE_Android\group\ssbaz\manager_web\src\components\RegularUsers\EventRe.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 265, 0, 17, 282
"d:\CODE_Android\group\ssbaz\manager_web\src\components\RegularUsers\Home.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 300, 0, 24, 324
"d:\CODE_Android\group\ssbaz\manager_web\src\components\RegularUsers\MapUser.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 137, 0, 7, 144
"d:\CODE_Android\group\ssbaz\manager_web\src\components\RegularUsers\NoticeCenter.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 160, 0, 6, 166
"d:\CODE_Android\group\ssbaz\manager_web\src\components\RegularUsers\OrderCenter.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 209, 0, 5, 214
"d:\CODE_Android\group\ssbaz\manager_web\src\components\RegularUsers\PersonalCenter.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 311, 0, 18, 329
"d:\CODE_Android\group\ssbaz\manager_web\src\components\RegularUsers\VisitorInfo.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 158, 0, 6, 164
"d:\CODE_Android\group\ssbaz\manager_web\src\components\RegularUsers\header\animationheader.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 86, 0, 4, 90
"d:\CODE_Android\group\ssbaz\manager_web\src\components\RegularUsers\header\staticheader.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 79, 0, 2, 81
"d:\CODE_Android\group\ssbaz\manager_web\src\components\RetrievePasswordSuccess.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 132, 0, 14, 146
"d:\CODE_Android\group\ssbaz\manager_web\src\components\SuperManager\superAppDisplay.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 130, 0, 18, 148
"d:\CODE_Android\group\ssbaz\manager_web\src\components\SuperManager\superAppInfo.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 352, 8, 54, 414
"d:\CODE_Android\group\ssbaz\manager_web\src\components\SuperManager\superCommit.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 180, 0, 21, 201
"d:\CODE_Android\group\ssbaz\manager_web\src\components\SuperManager\superHeader\Sysanimationheader.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 81, 5, 5, 91
"d:\CODE_Android\group\ssbaz\manager_web\src\components\SuperManager\superHeader\Sysstaticheader.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 74, 5, 4, 83
"d:\CODE_Android\group\ssbaz\manager_web\src\components\SuperManager\superHome.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 107, 0, 14, 121
"d:\CODE_Android\group\ssbaz\manager_web\src\components\SuperManager\superUser.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 238, 0, 31, 269
"d:\CODE_Android\group\ssbaz\manager_web\src\components\SuperManager\superUserInfo.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 213, 5, 43, 261
"d:\CODE_Android\group\ssbaz\manager_web\src\components\SystemAdminintrators\Home2.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 441, 0, 26, 467
"d:\CODE_Android\group\ssbaz\manager_web\src\components\SystemAdminintrators\MapSys.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 137, 0, 7, 144
"d:\CODE_Android\group\ssbaz\manager_web\src\components\SystemAdminintrators\ReShow.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 119, 0, 3, 122
"d:\CODE_Android\group\ssbaz\manager_web\src\components\SystemAdminintrators\actnoticerelase.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 140, 0, 6, 146
"d:\CODE_Android\group\ssbaz\manager_web\src\components\SystemAdminintrators\comments.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 99, 0, 3, 102
"d:\CODE_Android\group\ssbaz\manager_web\src\components\SystemAdminintrators\sysactmanage.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 768, 0, 42, 810
"d:\CODE_Android\group\ssbaz\manager_web\src\components\SystemAdminintrators\sysactmanage2.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 770, 0, 43, 813
"d:\CODE_Android\group\ssbaz\manager_web\src\components\UserInfo.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 225, 0, 40, 265
"d:\CODE_Android\group\ssbaz\manager_web\src\components\VenueAdministrators\Home.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 1003, 0, 47, 1050
"d:\CODE_Android\group\ssbaz\manager_web\src\components\VenueAdministrators\Home2.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 998, 0, 52, 1050
"d:\CODE_Android\group\ssbaz\manager_web\src\components\VenueAdministrators\MapVen.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 138, 0, 7, 145
"d:\CODE_Android\group\ssbaz\manager_web\src\components\VenueAdministrators\ReShow.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 119, 0, 2, 121
"d:\CODE_Android\group\ssbaz\manager_web\src\components\VenueAdministrators\comments.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 99, 0, 3, 102
"d:\CODE_Android\group\ssbaz\manager_web\src\components\VenueAdministrators\header\Venueanimationheader.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 70, 0, 3, 73
"d:\CODE_Android\group\ssbaz\manager_web\src\components\VenueAdministrators\header\Venuestaticheader.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 63, 0, 2, 65
"d:\CODE_Android\group\ssbaz\manager_web\src\components\VenueAdministrators\noticerelase.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 168, 0, 6, 174
"d:\CODE_Android\group\ssbaz\manager_web\src\components\VenueAdministrators\venecharts.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 346, 0, 22, 368
"d:\CODE_Android\group\ssbaz\manager_web\src\components\header\Sysanimationheader.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 86, 0, 3, 89
"d:\CODE_Android\group\ssbaz\manager_web\src\components\header\Sysstaticheader.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 79, 0, 3, 82
"d:\CODE_Android\group\ssbaz\manager_web\src\components\notManagerComponents.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 124, 0, 16, 140
"d:\CODE_Android\group\ssbaz\manager_web\src\components\sysecharts.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 346, 0, 22, 368
"d:\CODE_Android\group\ssbaz\manager_web\src\components\test.vue", "Vue", 0, 0, 0, 0, 0, 0, 0, 49, 0, 5, 54
"d:\CODE_Android\group\ssbaz\manager_web\src\echarts\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\CODE_Android\group\ssbaz\manager_web\src\main.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 28
"d:\CODE_Android\group\ssbaz\manager_web\src\router\index.ts", "TypeScript", 0, 209, 0, 0, 0, 0, 0, 0, 35, 16, 260
"d:\CODE_Android\group\ssbaz\manager_web\src\stores\index.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 0, 0, 0, 3, 52
"d:\CODE_Android\group\ssbaz\manager_web\src\utils\index.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\CODE_Android\group\ssbaz\manager_web\tsconfig.app.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"d:\CODE_Android\group\ssbaz\manager_web\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 41
"d:\CODE_Android\group\ssbaz\manager_web\tsconfig.node.json", "JSON", 0, 0, 0, 19, 0, 0, 0, 0, 0, 1, 20
"d:\CODE_Android\group\ssbaz\manager_web\tsconfig.vitest.json", "JSON", 0, 0, 0, 12, 0, 0, 0, 0, 0, 1, 13
"d:\CODE_Android\group\ssbaz\manager_web\vite.config.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 2, 2, 36
"d:\CODE_Android\group\ssbaz\manager_web\vitest.config.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"d:\CODE_Android\group\ssbaz\manager_web\vue.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"Total", "-", 21, 342, 1, 7132, 41, 40, 21, 11832, 64, 980, 20474